Metal,Model,MAPE,MAE,RMSE,SMAPE
Cobre,Holt,20.534049890867582,0.8495244005550889,1.0165661996011215,23.332179613903428
Cobre,Damped,24.17217257471261,1.0080711842683043,1.2036403310931518,28.421305055518197
Cobre,ARIMA,25.054672304692634,1.0451709516335452,1.2465003358219813,29.668320904969995
Oro,Holt,32.40358777911666,761.7970520890286,986.7612041265189,40.689098916284195
Oro,ARIMA,37.50153226947077,871.7762546058468,1102.1089483360154,48.67680570716419
Oro,Damped,38.33220079392008,889.7315220244382,1120.6113102526372,50.046951215484015
Plata,Holt,32.54305769615601,9.578771235694372,13.078775825120811,41.36391784218545
Plata,Damped,35.73991282102463,10.43502349884448,13.96535540182218,46.41874724999613
Plata,ARIMA,36.797679028716495,10.71583243891733,14.25334940632044,48.1399043482663
Cobalto,Damped,35.610876897294744,10138.175599205037,11103.707918818845,28.862090536255323
Cobalto,ARIMA,65.33728350297446,18557.387894736843,20388.497184520234,46.10309151689722
Cobalto,Holt,70.13705647404201,19975.05163381426,21849.638122877604,48.5843786792572
